CellId,AltFreq,AltPos,SepBF,Pval1,Pval2,PrMix,PrAve,PrOut,PrSing,WinModels,WinPr,MlpxRate,PrState1,Switch12,Switch21,ProbMlpx,PvalSep,PrBinSep,MinSampSize,Pswitch0_10,Pswitch10_20,Pswitch20_30,Pswitch30_40,Pswitch40_50,Pswitch50_60,Pswitch60_70,Pswitch70_80,Pswitch80_90,Pswitch90_100,Rule_5_5_5,PairId
YKIC090811Loc_DoubleSound,609,-24,13.2624,0.1163,0.1747,0.219761514,0.35979806,0.000823199,0.419617227,Single,0.419617227,0.57,0.75,0.26,0.44,0.59,0.01,0,5,0,0,0,1,1,0,2,0,0,1,TRUE,NA
YKIC140528Loc_DoubleSound,500,6,20.9779,0.1655,0.1731,0.2554898,0.417123561,5.22E-05,0.327334468,Average,0.417123561,0.44,0.68,0.27,0.3,0.41,0,0,8,0,1,3,2,3,3,2,0,0,0,TRUE,2
YKIC080311Loc_DoubleSound,1100,6,5.1298,0.1469,0.8615,0.261325621,0.196795913,0.12601075,0.415867716,Single,0.415867716,0.48,0.67,0.32,0.4,0.48,0,0,9,0,0,2,0,0,2,1,0,0,0,TRUE,NA
PSIC092710Loc_DoubleSound,609,-6,4.2547,0.4229,0.4721,0.246938555,0.193144679,0.144393114,0.415523653,Single,0.415523653,0.44,0.64,0.29,0.33,0.42,0.02,0.18,10,0,0,0,3,4,1,0,0,0,0,TRUE,NA
PSIC091410Loc_DoubleSound,903,-6,4.6328,0.5094,0.4843,0.331582052,0.414832696,0.041354254,0.212230998,Average,0.414832696,0.55,0.56,0.4,0.35,0.58,0,0.08,15,0,0,0,0,1,11,0,0,0,0,TRUE,NA
YKIC072811Loc_DoubleSound,609,6,27.7132,0.6238,0.1605,0.116169429,0.069134212,0.413620845,0.401075513,Outside,0.413620845,0.37,0.91,0.17,0.38,0.31,0,0,8,0,0,7,7,0,0,0,0,1,0,TRUE,NA
PSIC092710Loc_DoubleSound,609,6,3.2311,0.2267,0.3552,0.286502887,0.294579411,0.00546273,0.413454972,Single,0.413454972,0.51,0.6,0.31,0.38,0.48,0,0,16,0,0,0,0,3,8,0,0,0,0,TRUE,NA
YKIC090911_1Loc_DoubleSound,1100,-24,90.6253,0.7165,0.1562,0.152886108,0.410219857,0.098031931,0.338862104,Average,0.410219857,0.41,0.81,0.19,0.41,0.36,0,0,6,0,0,3,0,2,1,0,0,0,0,TRUE,NA
PSIC102010Loc_DoubleSound,1100,24,3.2339,0.348,0.3391,0.182582539,0.20041743,0.207473234,0.409526797,Single,0.409526797,0.55,0.57,0.34,0.39,0.57,0,0.1,7,0,0,0,0,0,4,2,0,0,0,TRUE,NA
YKIC082511Loc_DoubleSound,1100,-24,12.3148,0.1631,0.1653,0.208674549,0.267274403,0.115639299,0.40841175,Single,0.40841175,0.45,0.87,0.23,0.33,0.43,0,0,5,0,0,0,7,1,2,0,0,0,1,TRUE,NA
YKIC080311Loc_DoubleSound,500,24,72.157,0.4434,0.1499,0.179441845,0.0477248,0.40836083,0.364472525,Outside,0.40836083,0.45,0.19,0.23,0.15,0.4,0,0,5,0,0,4,0,0,0,0,0,0,1,TRUE,NA
YKIC081911Loc_DoubleSound,609,-6,10.2744,0.2071,0.2173,0.169461259,0.164206427,0.258145748,0.408186566,Single,0.408186566,0.4,0.17,0.36,0.19,0.36,0,0,6,0,0,0,5,1,0,1,0,0,0,TRUE,NA
PSIC111210Loc_DoubleSound,903,-6,3.6668,0.218,0.201,0.280778968,0.406452784,0.08198758,0.230780668,Average,0.406452784,0.48,0.38,0.38,0.34,0.47,0.01,0.14,6,0,0,0,0,4,1,0,0,0,0,TRUE,NA
PSIC091710Loc_DoubleSound,609,6,9.6398,0.5059,0.7679,0.236599946,0.272399768,0.084993155,0.406007131,Single,0.406007131,0.51,0.37,0.37,0.34,0.51,0,0.08,17,0,0,0,0,2,12,0,0,0,0,TRUE,NA
YKIC072711Loc_DoubleSound,903,-6,49.9938,0.3211,0.3278,0.150052583,0.106472399,0.338961246,0.404513772,Single,0.404513772,0.27,0.88,0.2,0.33,0.19,0,0,7,0,3,5,1,0,0,0,0,0,0,TRUE,NA
